Rice,Date
31.09,01-01-2022
31,02-01-2022
32,03-01-2022
31.13,04-01-2022
30.91,05-01-2022
31,06-01-2022
31.3,07-01-2022
31.3,08-01-2022
30.73,09-01-2022
30.89,10-01-2022
30.6,11-01-2022
30.56,12-01-2022
31.22,13-01-2022
31.56,14-01-2022
30.89,15-01-2022
30.6,16-01-2022
31.1,17-01-2022
30.44,18-01-2022
31.4,19-01-2022
31.33,20-01-2022
30.82,21-01-2022
31.09,22-01-2022
30.8,23-01-2022
31.89,24-01-2022
31.2,25-01-2022
30.9,26-01-2022
31.2,27-01-2022
32.73,28-01-2022
32.5,29-01-2022
30.82,30-01-2022
31.3,31-01-2022
31.3,01-02-2022
30.8,02-02-2022
31.5,03-02-2022
31,04-02-2022
31.89,05-02-2022
30.33,06-02-2022
31.5,07-02-2022
31.57,08-02-2022
31.4,09-02-2022
31.4,10-02-2022
30.78,11-02-2022
30.38,12-02-2022
31.22,13-02-2022
31.36,14-02-2022
31.5,15-02-2022
31.5,16-02-2022
31.45,17-02-2022
31.6,18-02-2022
32.9,19-02-2022
31,20-02-2022
31.64,21-02-2022
31.5,22-02-2022
32.27,23-02-2022
31.89,24-02-2022
31.2,25-02-2022
30.89,26-02-2022
31.2,27-02-2022
31.7,28-02-2022
31.33,01-03-2022
31.3,02-03-2022
31.2,03-03-2022
31.64,04-03-2022
31.25,05-03-2022
31.8,06-03-2022
31.9,07-03-2022
32.22,08-03-2022
31.82,09-03-2022
32.1,10-03-2022
31.9,11-03-2022
32.11,12-03-2022
32.5,13-03-2022
32.11,14-03-2022
31.9,15-03-2022
31.82,16-03-2022
32.75,17-03-2022
31.5,18-03-2022
32.22,19-03-2022
31.22,20-03-2022
31.5,21-03-2022
31.67,22-03-2022
31.38,23-03-2022
31.5,24-03-2022
31.6,25-03-2022
31.78,26-03-2022
31.11,27-03-2022
33.09,28-03-2022
32.45,29-03-2022
33.55,30-03-2022
32,31-03-2022
33.18,01-04-2022
33,02-04-2022
33.3,03-04-2022
32.56,04-04-2022
32.91,05-04-2022
33.5,06-04-2022
33.27,07-04-2022
33,08-04-2022
33,09-04-2022
32.7,10-04-2022
32.91,11-04-2022
32.91,12-04-2022
32.91,13-04-2022
31.7,14-04-2022
32.82,15-04-2022
33,16-04-2022
33.56,17-04-2022
32.91,18-04-2022
32.82,19-04-2022
32.8,20-04-2022
31.56,21-04-2022
31.4,22-04-2022
32.3,23-04-2022
32.64,24-04-2022
33.1,25-04-2022
32.91,26-04-2022
