States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Madhya Pradesh,31.09,23,27.09,70.64,101.27,93.82,94.09,86.36,41.27,55.36,168.45,168.27,132.18,135.55,159.27,108.67,42.91,277.45,16.09,17,26,31.27,01/01/2022
Madhya Pradesh,31,23.2,27.4,71.9,102.2,94.7,95.2,86.2,41.6,54.9,168.1,168.2,132.6,136.3,161.2,107.4,43.3,282.4,16.2,17.2,26.9,31.6,02/01/2022
Madhya Pradesh,32,23.18,27.18,70.91,101.55,94.09,94.27,86.55,41.36,55.91,168.82,168.55,132.27,135.82,159.36,109.17,42.82,280.18,16.36,17,26.36,31.18,03/01/2022
Madhya Pradesh,31.13,23.25,27.88,70,99.88,94.25,95.63,90.5,41.25,55.75,174.38,174.88,132.38,137,159.25,108.33,43.63,270.13,17.5,16.5,27.25,32.13,04/01/2022
Madhya Pradesh,30.91,23,27.36,70.82,100.91,93.73,94.36,86.36,41.18,55.27,167.64,168.18,132.45,135.55,159.36,110.33,43,277.27,16.09,16.91,26.09,27.64,05/01/2022
Madhya Pradesh,31,22.6,27.5,70.7,99.6,93.6,95.1,88,41.1,54.8,169.2,173.1,133.9,137,159.6,114.6,43.6,276.2,16.2,16.5,26.8,27.6,06/01/2022
Madhya Pradesh,31.3,23.4,27.7,71.3,100,92.2,93.4,86.2,41.5,55.9,166.7,168.5,131.9,134.6,157.6,110.67,43.2,281.2,16,17.1,26.3,28.3,07/01/2022
Madhya Pradesh,31.3,23.5,27.2,71.2,100.8,96.3,95.2,87.7,41.1,56.6,166.7,171.5,133.9,135.5,161.5,110.67,42.7,267.5,16.4,18.1,26.5,25.3,08/01/2022
Madhya Pradesh,30.73,22.91,27.36,71,100.73,94,94.82,86.55,41.18,55.27,167.73,168.18,132.27,135.55,159.36,110.17,42.91,276.82,16.09,17,25.82,26.36,09/01/2022
Madhya Pradesh,30.89,23.44,27.67,72.44,100.56,93.22,93.89,85.78,41.67,55,166.11,167.78,132.56,135.33,159.22,107.2,43.78,286.11,15.67,17.78,28.11,27.78,10/01/2022
Madhya Pradesh,30.6,22.9,27.7,70.7,100.2,93.2,94.3,86.8,41.1,55.7,168.8,168.1,133.6,135.5,159.3,112.6,42.5,279.7,17,16.6,26.6,24.8,11/01/2022
Madhya Pradesh,30.56,22.78,27,72.11,101.89,95.89,95.78,86.22,41.44,54,166,165.67,132.11,136.11,160.78,107.6,43.78,285.22,15.56,17.11,27.67,25.78,12/01/2022
Madhya Pradesh,31.22,22.89,27.78,72.22,100.56,95.11,96.11,88,41.33,53.89,169,173.11,134.56,138.22,161.78,112,44.56,277.33,16.22,16.89,28.56,24.78,13/01/2022
Madhya Pradesh,31.56,23,27.78,71.22,98.78,92.22,93.78,87.89,41.22,55.22,168,174,133.89,135.89,157.44,114.8,44.22,279.33,16,17.44,28.67,24.78,14/01/2022
Madhya Pradesh,30.89,22.78,27.67,69.67,99.56,93.44,94.67,86.56,41,55.67,169.11,171.44,132.22,137.33,159.78,115,43.22,276.11,15.89,16.33,25.89,24.78,15/01/2022
Madhya Pradesh,30.6,22.9,27.6,69.9,100.7,93.4,94.2,85.4,41.2,56.4,167.9,166.8,130.8,136,159.6,110.83,42.9,285.4,16.3,17,25.7,24.1,16/01/2022
Madhya Pradesh,31.1,23,27.9,70.9,100.9,94,94.7,86.7,41.1,55.8,169,169.1,133.8,136.5,160,111.4,42.9,279.5,16.8,17.2,27.8,23.2,17/01/2022
Madhya Pradesh,30.44,22.78,27,71,101.56,95.11,95.11,86.44,40.89,55,165.56,166,130.11,132.56,155,110.4,42.78,281.22,16,17,27.78,22.56,18/01/2022
Madhya Pradesh,31.4,23.5,28.7,72.6,102.1,95.3,95.8,87.4,41.4,55.1,167.7,170,132.4,136.7,160.4,108,43.9,282.3,16.5,17.5,27.7,23.3,19/01/2022
Madhya Pradesh,31.33,23.78,28.89,72.89,101.11,93.33,94.22,86.78,41.78,55.56,166.89,170.78,132.44,136.11,158.78,109.2,44.33,288.11,16.33,18.56,29.56,24.11,20/01/2022
Madhya Pradesh,30.82,22.91,27.91,71.27,101,94.18,94.64,86.91,41.18,55.55,170,170,130.5,135.5,158.7,107,43.09,277.73,16.36,16.45,26.91,21.45,21/01/2022
Madhya Pradesh,31.09,23.18,27.91,71.73,100.73,94.36,94.64,87.18,41.27,55.73,167.91,171.36,131.55,135.27,158.55,112.17,43.09,282,16.55,17,26.82,19.64,22/01/2022
Madhya Pradesh,30.8,23.2,28.2,71.6,99.6,92.1,93,86.7,41.44,56.56,166.6,170.4,130.8,133.8,156.1,111.67,43.44,276.44,16.67,16.89,26.11,19.56,23/01/2022
Madhya Pradesh,31.89,23.33,30.22,73.78,100,91.67,97.11,88.44,41.11,56.44,166.33,169.22,131.22,133.89,154.44,111.8,42.89,289.78,16.11,17.33,27.67,20.11,24/01/2022
Madhya Pradesh,31.2,23.2,28.1,71.1,101.3,93.8,94.8,87.1,41.1,56.3,167.4,171.6,132.9,134.8,156.7,112.6,42.8,282.7,16.6,16.4,27,20.8,25/01/2022
